--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@456b7; boundsInParent: Rect(0, 0 - 792, 60); boundsInScreen: Rect(54, 707 - 846, 767); packageName: com.boco.apphall; className: android.widget.TextView; text: 光缆断点; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_desc; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@45a78; boundsInParent: Rect(0, 0 - 120, 41); boundsInScreen: Rect(54, 1249 - 174, 1290); packageName: com.boco.apphall; className: android.widget.TextView; text: 更新说明; contentDescription: null; viewIdResName: com.boco.apphall:id/app_update_desc; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@45e39; boundsInParent: Rect(0, 0 - 792, 168); boundsInScreen: Rect(54, 1300 - 846, 1468); packageName: com.boco.apphall; className: android.widget.TextView; text: 版本更新
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): 新大厅上线
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): 新大厅上; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_update_desc; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@461fa; boundsInParent: Rect(0, 0 - 120, 41); boundsInScreen: Rect(54, 1499 - 174, 1540); packageName: com.boco.apphall; className: android.widget.TextView; text: 其他信息; contentDescription: null; viewIdResName: com.boco.apphall:id/app_other_desc; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@465bb; boundsInParent: Rect(0, 0 - 104, 36); boundsInScreen: Rect(54, 1560 - 158, 1596); packageName: com.boco.apphall; className: android.widget.TextView; text: 当前版本; contentDescription: null; viewIdResName: com.boco.apphall:id/curversion_title; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@4697c; boundsInParent: Rect(0, 0 - 37, 36); boundsInScreen: Rect(178, 1560 - 215, 1596); packageName: com.boco.apphall; className: android.widget.TextView; text: 1.4; contentDescription: null; viewIdResName: com.boco.apphall:id/curversion_title_write; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@46d3d; boundsInParent: Rect(0, 0 - 104, 36); boundsInScreen: Rect(54, 1616 - 158, 1652); packageName: com.boco.apphall; className: android.widget.TextView; text: 支持系统; contentDescription: null; viewIdResName: com.boco.apphall:id/hold_system_title; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@470fe; boundsInParent: Rect(0, 0 - 89, 36); boundsInScreen: Rect(178, 1616 - 267, 1652); packageName: com.boco.apphall; className: android.widget.TextView; text: android; contentDescription: null; viewIdResName: com.boco.apphall:id/hold_system_write; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
